net name, threshold, accuracy, recall, precision, tp, tn, fp, fn
densenet201,0.5,0.9716446124763705,0.9888888888888889,0.956989247311828,267,247,12,3
EfficientNetV2L,0.5,0.9659735349716446,0.9851851851851852,0.95,266,245,14,4
EfficientNetV2L,0.8,0.9754253308128544,0.9666666666666667,0.9849056603773585,261,255,4,9
